_date,total_views,unique_views
2022-02-25,1,1
2022-02-26,1,1
2022-02-28,11,4
2022-03-01,5,2
2022-03-02,69,5
2022-03-03,7,5
2022-03-04,8,6
2022-03-05,3,2
2022-03-07,5,3
2022-03-08,10,8
2022-03-09,5,3
2022-03-10,8,5
2022-03-11,30,5
2022-03-12,4,3
2022-03-13,2,2
2022-03-14,10,7
2022-03-15,7,3
2022-03-16,11,3
2022-03-17,27,5
2022-03-18,2,2
2022-03-19,14,3
2022-03-21,10,6
2022-03-22,2,2
2022-03-23,48,5
2022-03-24,2,2
2022-03-25,12,7
2022-03-28,21,5
2022-03-29,10,6
2022-03-30,17,7
2022-03-31,3,1
2022-04-01,26,9
2022-04-03,1,1
2022-04-04,11,7
2022-04-05,13,5
2022-04-06,5,4
2022-04-07,4,3
2022-04-08,8,5
2022-04-09,1,1
2022-04-10,5,4
2022-04-11,19,8
2022-04-12,3,2
2022-04-13,2,1
2022-04-14,19,12
2022-04-17,2,2
2022-04-18,31,4
2022-04-19,17,6
2022-04-20,11,3
2022-04-21,14,6
2022-04-22,18,6
2022-04-24,1,1
2022-04-25,15,8
2022-04-26,18,10
2022-04-27,3,3
2022-04-28,6,6
2022-04-29,13,5
2022-04-30,10,4
2022-05-01,1,1
2022-05-02,28,15
2022-05-03,38,14
2022-05-04,18,8
2022-05-05,66,6
2022-05-06,24,10
2022-05-08,8,1
2022-05-09,46,6
2022-05-10,18,4
2022-05-11,12,4
2022-05-12,30,5
2022-05-13,22,9
2022-05-15,2,1
2022-05-16,2,2
2022-05-17,5,5
2022-05-18,12,7
2022-05-19,3,3
2022-05-20,4,4
2022-05-21,1,1
2022-05-22,1,1
2022-05-23,15,7
2022-05-24,23,4
2022-05-25,10,7
2022-05-26,3,3
2022-05-27,11,5
2022-05-28,8,3
2022-05-29,3,2
2022-05-30,9,5
2022-05-31,4,4
2022-06-01,21,4
2022-06-02,36,7
2022-06-03,9,5
2022-06-05,1,1
2022-06-06,1,1
2022-06-07,13,5
2022-06-08,2,1
2022-06-09,2,2
2022-06-10,1,1
2022-06-12,7,3
2022-06-13,1,1
2022-06-14,1,1
2022-06-15,3,2
2022-06-16,3,2
2022-06-17,7,2
2022-06-18,2,2
2022-06-19,4,1
2022-06-20,7,7
2022-06-21,3,2
2022-06-22,5,4
2022-06-23,13,2
2022-06-24,17,4
2022-06-26,1,1
2022-06-27,47,3
2022-06-28,18,3
2022-06-29,13,3
2022-06-30,7,3
2022-07-01,2,2
2022-07-02,3,2
2022-07-03,1,1
2022-07-04,32,5
2022-07-05,43,4
2022-07-06,17,6
2022-07-07,5,3
2022-07-08,12,4
2022-07-11,7,3
2022-07-12,6,6
2022-07-13,3,3
2022-07-14,3,2
2022-07-15,70,3
2022-07-18,12,6
2022-07-19,2,2
2022-07-20,21,7
2022-07-21,3,2
2022-07-22,2,1
2022-07-25,3,3
2022-07-26,1,1
2022-07-27,1,1
2022-07-28,12,2
2022-07-30,1,1
2022-08-01,3,2
2022-08-02,3,2
2022-08-03,42,4
2022-08-04,2,2
2022-08-05,2,2
2022-08-06,2,2
2022-08-08,4,2
2022-08-09,3,2
2022-08-10,4,4
2022-08-11,2,2
2022-08-12,10,3
2022-08-14,2,2
2022-08-16,6,4
2022-08-17,1,1
2022-08-18,8,5
2022-08-19,5,4
2022-08-22,12,2
2022-08-24,6,5
2022-08-25,7,1
2022-08-26,7,6
2022-08-28,4,2
2022-08-30,4,2
2022-09-01,4,2
2022-09-02,2,2
2022-09-04,1,1
2022-09-05,10,5
2022-09-06,5,3
2022-09-07,5,2
2022-09-08,7,4
2022-09-09,3,2
2022-09-10,1,1
2022-09-11,1,1
2022-09-12,5,4
2022-09-13,7,7
2022-09-14,3,3
2022-09-15,1,1
2022-09-16,8,2
2022-09-17,7,2
2022-09-19,3,3
2022-09-20,2,1
2022-09-21,6,3
2022-09-22,3,2
2022-09-24,7,2
2022-09-25,5,2
2022-09-27,2,2
2022-09-28,4,2
2022-09-29,5,3
2022-10-04,59,4
2022-10-05,37,7
2022-10-07,16,5
2022-10-08,2,2
2022-10-09,1,1
2022-10-10,8,5
2022-10-11,4,4
2022-10-12,8,2
2022-10-13,6,3
2022-10-14,39,4
2022-10-15,1,1
2022-10-17,14,5
2022-10-18,3,3
2022-10-19,4,3
2022-10-20,10,3
2022-10-21,5,5
2022-10-22,1,1
2022-10-23,2,2
2022-10-24,13,4
2022-10-26,2,1
2022-10-27,10,4
2022-10-28,15,6
2022-10-30,1,1
2022-10-31,3,1
2022-11-01,3,2
2022-11-02,43,4
2022-11-03,3,2
2022-11-04,12,3
2022-11-05,4,1
2022-11-06,2,2
2022-11-07,6,5
2022-11-08,21,2
2022-11-09,2,2
2022-11-10,3,3
2022-11-11,40,3
2022-11-12,9,1
2022-11-13,3,1
2022-11-14,6,5
2022-11-15,2,2
2022-11-16,11,4
2022-11-17,5,3
2022-11-18,7,1
2022-11-19,3,3
2022-11-20,11,1
2022-11-22,3,2
2022-11-23,44,6
2022-11-24,3,3
2022-11-25,10,6
2022-11-26,1,1
2022-11-28,1,1
2022-11-29,5,4
2022-11-30,22,4
2022-12-01,5,1
2022-12-02,7,4
2022-12-04,1,1
2022-12-05,25,6
2022-12-06,2,2
2022-12-07,14,3
2022-12-08,280,7
2022-12-09,3,1
2022-12-10,1,1
2022-12-12,1,1
2022-12-13,3,2
2022-12-14,2,2
2022-12-15,10,4
2022-12-16,9,2
2022-12-19,92,7
2022-12-20,9,4
2022-12-21,22,4
2022-12-22,14,4
2022-12-23,6,3
2022-12-26,1,1
2022-12-27,5,3
2022-12-28,7,3
2022-12-29,7,1
2022-12-30,1,1
2022-12-31,7,1
2023-01-02,29,5
2023-01-03,45,6
2023-01-04,6,1
2023-01-05,4,3
2023-01-06,5,5
2023-01-09,7,3
2023-01-10,4,2
2023-01-11,30,7
2023-01-12,35,7
2023-01-13,4,3
2023-01-14,1,1
2023-01-16,28,8
2023-01-17,20,7
2023-01-18,15,3
2023-01-19,2,2
2023-01-20,18,5
2023-01-23,6,4
2023-01-24,3,3
2023-01-25,21,5
2023-01-26,4,2
2023-01-27,8,4
2023-01-28,1,1
2023-01-30,5,2
2023-01-31,11,5
2023-02-01,19,7
2023-02-02,22,4
2023-02-03,24,3
2023-02-04,10,4
2023-02-05,1,1
2023-02-06,12,2
2023-02-07,17,6
2023-02-08,9,6
2023-02-09,6,5
2023-02-10,4,2
2023-02-11,1,1
2023-02-12,1,1
2023-02-13,21,5
2023-02-14,23,8
2023-02-15,19,8
2023-02-16,19,10
2023-02-17,10,4
2023-02-18,1,1
2023-02-19,2,2
2023-02-20,8,5
2023-02-21,38,5
2023-02-22,14,3
2023-02-23,1,1
2023-02-24,2,2
2023-02-27,17,9
2023-02-28,9,2
2023-03-01,3,2
2023-03-02,9,7
2023-03-03,8,4
2023-03-05,2,1
2023-03-06,7,3
2023-03-07,4,1
2023-03-08,9,5
2023-03-09,35,5
2023-03-10,9,5
2023-03-13,6,4
2023-03-14,5,2
2023-03-16,4,3
2023-03-17,8,4
2023-03-19,2,2
2023-03-20,28,16
2023-03-21,8,5
2023-03-22,3,1
2023-03-23,1,1
2023-03-24,3,3
2023-03-25,3,2
2023-03-26,1,1
2023-03-27,3,3
2023-03-28,23,6
2023-03-29,9,4
2023-03-30,5,5
2023-03-31,2,1
2023-04-02,4,2
2023-04-03,4,2
2023-04-04,2,2
2023-04-05,3,2
2023-04-06,3,3
2023-04-07,2,1
2023-04-11,7,6
2023-04-12,25,7
2023-04-13,13,7
2023-04-14,14,4
2023-04-17,33,6
2023-04-18,3,2
2023-04-19,5,4
2023-04-20,10,5
2023-04-21,5,3
2023-04-22,1,1
2023-04-23,4,3
2023-04-24,3,3
2023-04-25,6,4
2023-04-26,13,7
2023-04-27,44,7
2023-04-28,8,7
2023-05-01,3,2
2023-05-02,12,4
2023-05-03,1,1
2023-05-04,10,6
2023-05-06,1,1
2023-05-08,2,2
2023-05-09,2,2
2023-05-10,16,2
2023-05-11,18,7
2023-05-12,7,4
2023-05-14,15,1
2023-05-15,1,1
2023-05-16,2,1
2023-05-17,3,2
2023-05-18,1,1
2023-05-23,5,3
2023-05-24,33,4
2023-05-25,6,4
2023-05-26,4,4
2023-05-27,2,1
2023-05-28,7,7
2023-05-29,27,5
2023-05-30,3,3
2023-05-31,4,4
2023-06-01,5,4
2023-06-02,10,2
2023-06-05,11,5
2023-06-06,23,10
2023-06-07,18,4
2023-06-08,35,4
2023-06-09,8,2
2023-06-10,1,1
2023-06-12,7,4
2023-06-13,2,2
2023-06-14,44,6
2023-06-15,4,4
2023-06-16,1,1
2023-06-17,3,2
2023-06-19,29,7
2023-06-20,7,5
2023-06-21,3,2
2023-06-22,4,4
2023-06-23,3,3
2023-06-24,3,1
2023-06-26,2,2
2023-06-27,11,8
2023-06-28,16,4
2023-06-29,12,4
2023-06-30,3,2
2023-07-01,3,3
2023-07-03,7,2
2023-07-04,2,2
2023-07-05,39,3
2023-07-06,5,3
2023-07-07,3,3
2023-07-08,3,2
2023-07-09,7,1
2023-07-10,3,3
2023-07-11,1,1
2023-07-12,7,3
2023-07-13,8,3
2023-07-14,8,6
2023-07-15,8,2
2023-07-16,3,1
2023-07-17,49,7
2023-07-18,19,5
2023-07-19,3,2
2023-07-20,8,2
2023-07-21,3,2
2023-07-23,1,1
2023-07-24,3,1
2023-07-25,2,2
2023-07-26,2,1
2023-08-01,4,3
2023-08-02,11,2
2023-08-03,5,3
2023-08-04,15,5
2023-08-05,1,1
2023-08-07,3,1
2023-08-09,9,3
2023-08-10,7,3
2023-08-12,2,1
2023-08-16,5,1
2023-08-17,1,1
2023-08-18,8,2
2023-08-19,6,2
2023-08-20,2,1
2023-08-22,18,5
2023-08-23,5,2
2023-08-24,57,7
2023-08-25,57,3
2023-08-26,1,1
2023-08-27,7,1
2023-08-28,7,1
2023-08-29,4,3
2023-08-30,2,2
2023-08-31,14,3
2023-09-01,45,2
2023-09-03,2,1
2023-09-04,20,1
2023-09-05,2,2
2023-09-07,13,4
2023-09-08,5,3
2023-09-10,3,2
2023-09-11,4,3
2023-09-12,9,6
2023-09-13,3,1
2023-09-14,22,4
2023-09-15,5,3
2023-09-18,1,1
2023-09-19,1,1
2023-09-20,1,1
2023-09-21,23,1
2023-09-22,54,2
2023-09-23,1,1
2023-09-24,2,2
2023-09-25,16,5
2023-09-26,2,1
2023-09-27,2,2
2023-09-28,6,4
2023-09-29,28,6
2023-10-01,29,3
2023-10-02,8,3
2023-10-03,1,1
2023-10-04,40,4
2023-10-07,1,1
2023-10-08,2,2
2023-10-10,4,4
2023-10-12,19,3
2023-10-13,1,1
2023-10-14,5,1
2023-10-16,14,4
2023-10-17,87,5
2023-10-18,33,3
2023-10-19,1,1
2023-10-20,8,3
2023-10-23,10,1
2023-10-24,4,3
2023-10-25,48,4
2023-10-26,9,5
2023-10-27,67,4
2023-10-29,1,1
2023-10-30,11,2
2023-10-31,6,2
2023-11-01,1,1
2023-11-02,2,2
2023-11-03,9,4
2023-11-04,2,1
2023-11-06,17,2
2023-11-07,2,2
2023-11-08,17,5
2023-11-09,3,2
2023-11-10,20,1
2023-11-11,36,2
2023-11-12,4,3
2023-11-13,3,3
2023-11-14,24,5
2023-11-15,3,3
2023-11-16,2,2
2023-11-17,20,2
2023-11-18,59,4
2023-11-19,7,2
2023-11-20,2,2
2023-11-21,15,3
2023-11-22,66,4
2023-11-23,52,5
2023-11-24,13,6
2023-11-25,2,2
2023-11-29,2,2
2023-11-30,2,2
2023-12-01,4,4
2023-12-02,1,1
2023-12-04,3,2
2023-12-05,2,2
2023-12-06,38,3
2023-12-07,44,4
2023-12-08,92,7
2023-12-09,14,1
2023-12-10,9,1
2023-12-11,2,2
2023-12-12,2,2
2023-12-13,23,2
2023-12-14,9,5
2023-12-15,3,3
2023-12-18,1,1
2023-12-19,1,1
2023-12-21,1,1
2023-12-22,5,1
2023-12-23,1,1
2023-12-25,23,2
2023-12-26,1,1
2023-12-28,8,1
2024-01-02,1,1
2024-01-03,2,1
2024-01-04,24,1
2024-01-05,47,5
2024-01-08,95,2
2024-01-09,12,4
2024-01-11,101,2
2024-01-12,8,2
2024-01-14,11,2
2024-01-15,24,2
2024-01-16,16,4
2024-01-17,55,4
2024-01-18,56,3
2024-01-19,21,7
2024-01-21,1,1
2024-01-22,1,1
2024-01-23,27,4
2024-01-24,17,3
2024-01-25,41,8
2024-01-26,27,2
2024-01-27,37,2
2024-01-28,12,2
2024-01-29,2,2
2024-01-30,2,2
2024-01-31,15,3
2024-02-01,15,4
2024-02-02,9,4
2024-02-04,1,1
2024-02-05,3,3
2024-02-06,9,5
2024-02-07,10,3
2024-02-08,4,1
2024-02-09,9,2
2024-02-11,2,2
2024-02-12,6,2
2024-02-13,2,1
2024-02-14,3,1
2024-02-15,4,4
2024-02-16,5,2
2024-02-19,1,1
2024-02-20,2,2
2024-02-21,4,3
2024-02-22,1,1
2024-02-23,17,3
2024-02-26,1,1
2024-02-27,3,2
2024-02-28,10,7
2024-02-29,4,4
2024-03-02,2,1
2024-03-03,5,3
2024-03-05,2,1
2024-03-06,4,1
2024-03-07,3,3
2024-03-08,10,6
2024-03-09,1,1
2024-03-10,1,1
2024-03-12,3,3
2024-03-13,1,1
2024-03-14,3,2
2024-03-15,1,1
2024-03-16,1,1
2024-03-17,3,3
2024-03-18,1,1
2024-03-19,2,2
2024-03-21,67,4
2024-03-23,3,1
2024-03-24,2,1
2024-03-25,34,2
2024-03-26,5,2
2024-03-27,5,1
2024-03-28,8,5
2024-03-29,4,2
2024-04-02,3,2
2024-04-03,2,2
2024-04-04,58,2
2024-04-05,5,2
2024-04-08,4,3
2024-04-10,5,3
2024-04-11,27,5
2024-04-12,34,2
2024-04-15,33,1
2024-04-16,1,1
2024-04-17,8,4
2024-04-18,4,2
2024-04-21,19,2
2024-04-22,8,3
2024-04-23,39,3
2024-04-24,1,1
2024-04-25,15,2
2024-04-26,9,3
2024-04-29,1,1
2024-04-30,24,1
2024-05-01,3,1
2024-05-02,19,1
2024-05-03,1,1
2024-05-06,69,1
2024-05-07,4,2
2024-05-08,2,2
2024-05-09,6,1
2024-05-10,3,3
2024-05-11,6,1
2024-05-13,2,2
2024-05-14,1,1
2024-05-15,1,1
2024-05-16,18,3
2024-05-17,7,2
2024-05-20,2,2
2024-05-21,35,3
2024-05-22,18,1
2024-05-23,1,1
2024-05-24,11,3
2024-05-25,1,1
2024-05-26,4,1
2024-05-27,81,4
2024-05-28,13,4
2024-05-29,11,2
2024-05-31,1,1
2024-06-02,76,1
2024-06-03,3,2
2024-06-04,4,3
2024-06-05,33,6
2024-06-06,21,3
2024-06-07,14,4
2024-06-08,1,1
2024-06-09,4,2
2024-06-10,77,4
2024-06-11,1,1
2024-06-12,2,2
2024-06-14,12,1
2024-06-15,1,1
2024-06-17,12,2
2024-06-18,1,1
2024-06-19,82,2
2024-06-20,2,1
2024-06-21,1,1
2024-06-22,7,2
2024-06-26,7,5
2024-06-27,26,4
2024-06-28,22,2
2024-07-01,1,1
2024-07-02,7,3
2024-07-03,18,4
2024-07-05,2,1
2024-07-07,1,1
2024-07-08,1,1
2024-07-09,1,1
2024-07-10,1,1
2024-07-14,1,1
2024-07-25,36,4
2024-07-26,1,1
2024-07-30,8,2
2024-07-31,3,1
2024-08-01,41,1
2024-08-02,2,2
2024-08-04,1,1
2024-08-06,3,2
2024-08-07,14,5
2024-08-09,1,1
2024-08-13,1,1
2024-08-14,1,1
2024-08-16,19,1
2024-08-18,1,1
2024-08-19,2,1
2024-08-20,7,2
2024-08-22,1,1
2024-08-26,1,1
2024-08-27,7,4
2024-08-29,5,4
2024-08-30,3,3
2024-09-02,6,4
2024-09-03,3,1
2024-09-04,2,2
2024-09-05,3,2
2024-09-06,1,1
2024-09-07,3,1
2024-09-09,1,1
2024-09-10,25,3
2024-09-12,1,1
2024-09-13,1,1
2024-09-14,32,1
2024-09-15,3,1
